Address,Word,Pattern,Round
28338,0xEF,0xFF,1
30225,0xFB,0xFF,1
31475,0xFD,0xFF,1
32624,0xBF,0xFF,1
34644,0x7F,0xFF,1
38536,0xFD,0xFF,1
39415,0xFD,0xFF,1
41672,0xFE,0xFF,1
43178,0xBF,0xFF,1
44283,0xDF,0xFF,1
44848,0xDF,0xFF,1
45067,0xEF,0xFF,1
45219,0xEF,0xFF,1
45237,0xF7,0xFF,1
49932,0xF7,0xFF,1
56210,0xEF,0xFF,1
56454,0xFE,0xFF,1
61845,0xDF,0xFF,1
61955,0x7F,0xFF,1
62431,0xDF,0xFF,1
62728,0xFD,0xFF,1
62881,0x7F,0xFF,1
62967,0xFD,0xFF,1
63317,0xBF,0xFF,1
63887,0xEF,0xFF,1
64453,0xFE,0xFF,1
66463,0xBF,0xFF,1
67011,0xFD,0xFF,1
68510,0xFD,0xFF,1
68666,0xFB,0xFF,1
72402,0xFD,0xFF,1
74438,0xEF,0xFF,1
74726,0xFE,0xFF,1
75017,0xFD,0xFF,1
78910,0xEF,0xFF,1
79920,0xEF,0xFF,1
80340,0xBF,0xFF,1
80789,0xFD,0xFF,1
82924,0xFB,0xFF,1
85319,0xFE,0xFF,1
86302,0xEF,0xFF,1
86927,0xFB,0xFF,1
88556,0xBF,0xFF,1
88558,0xBF,0xFF,1
89111,0xDF,0xFF,1
89159,0xEF,0xFF,1
89658,0xFE,0xFF,1
89909,0xFD,0xFF,1
90598,0xF7,0xFF,1
92444,0xBF,0xFF,1
92445,0x7F,0xFF,1
94310,0x7F,0xFF,1
94697,0xFE,0xFF,1
95784,0xDF,0xFF,1
95915,0xDF,0xFF,1
96014,0xFD,0xFF,1
96421,0xDF,0xFF,1
96432,0xFD,0xFF,1
97603,0xFD,0xFF,1
97759,0xFE,0xFF,1
102050,0xFD,0xFF,1
104076,0xFD,0xFF,1
105566,0xEF,0xFF,1
106918,0xFE,0xFF,1
107376,0xDF,0xFF,1
107861,0xDF,0xFF,1
109130,0xBF,0xFF,1
109844,0xFB,0xFF,1
110646,0xFB,0xFF,1
111100,0xFE,0xFF,1
111240,0xDF,0xFF,1
112518,0xFD,0xFF,1
112886,0xBF,0xFF,1
115754,0xBF,0xFF,1
116231,0xFD,0xFF,1
116267,0xDF,0xFF,1
116978,0xFB,0xFF,1
118531,0x7F,0xFF,1
118711,0xFE,0xFF,1
119312,0xFB,0xFF,1
119423,0xF7,0xFF,1
119583,0xEF,0xFF,1
122155,0xFD,0xFF,1
122420,0xEF,0xFF,1
123196,0x7F,0xFF,1
123538,0xFE,0xFF,1
123578,0xDF,0xFF,1
123852,0xFB,0xFF,1
123858,0xBF,0xFF,1
124080,0xBF,0xFF,1
124264,0x7F,0xFF,1
124966,0xBF,0xFF,1
125381,0xFE,0xFF,1
126956,0xBF,0xFF,1
128642,0x7F,0xFF,1
128749,0xEF,0xFF,1
128873,0xFD,0xFF,1
128904,0xFB,0xFF,1
129624,0xDF,0xFF,1
130718,0xBF,0xFF,1
1583,0x04,0x00,2
1919,0x40,0x00,2
2337,0x20,0x00,2
2341,0x02,0x00,2
2937,0x02,0x00,2
3123,0x20,0x00,2
4697,0x80,0x00,2
4849,0x20,0x00,2
5167,0x80,0x00,2
6126,0x01,0x00,2
6320,0x02,0x00,2
6677,0x02,0x00,2
11595,0x08,0x00,2
13868,0x40,0x00,2
15239,0x04,0x00,2
18171,0x40,0x00,2
19534,0x04,0x00,2
20273,0x08,0x00,2
21422,0x04,0x00,2
23337,0x08,0x00,2
23532,0x20,0x00,2
23872,0x02,0x00,2
24585,0x40,0x00,2
25788,0x10,0x00,2
27473,0x20,0x00,2
28290,0x04,0x00,2
29001,0x01,0x00,2
29308,0x40,0x00,2
29392,0x20,0x00,2
30205,0x04,0x00,2
30286,0x04,0x00,2
32506,0x40,0x00,2
33098,0x20,0x00,2
34537,0x01,0x00,2
35408,0x01,0x00,2
37479,0x02,0x00,2
38298,0x40,0x00,2
38309,0x20,0x00,2
39414,0x80,0x00,2
40054,0x04,0x00,2
40365,0x08,0x00,2
40802,0x02,0x00,2
42799,0x02,0x00,2
45672,0x20,0x00,2
45883,0x08,0x00,2
46552,0x10,0x00,2
46741,0x20,0x00,2
47587,0x40,0x00,2
47880,0x02,0x00,2
48599,0x10,0x00,2
50871,0x04,0x00,2
51112,0x08,0x00,2
51406,0x04,0x00,2
51790,0x80,0x00,2
54369,0x80,0x00,2
55834,0x04,0x00,2
56249,0x02,0x00,2
56885,0x40,0x00,2
57976,0x10,0x00,2
58072,0x20,0x00,2
59304,0x01,0x00,2
59374,0x02,0x00,2
60125,0x08,0x00,2
61100,0x04,0x00,2
62175,0x02,0x00,2
62497,0x80,0x00,2
63054,0x02,0x00,2
64381,0x10,0x00,2
65695,0x10,0x00,2
66105,0x10,0x00,2
66811,0x40,0x00,2
68049,0x80,0x00,2
68082,0x10,0x00,2
69312,0x80,0x00,2
70910,0x10,0x00,2
71069,0x40,0x00,2
71261,0x40,0x00,2
71350,0x02,0x00,2
71467,0x04,0x00,2
72534,0x01,0x00,2
73505,0x80,0x00,2
73818,0x40,0x00,2
75726,0x80,0x00,2
76102,0x80,0x00,2
77872,0x02,0x00,2
78854,0x80,0x00,2
79155,0x04,0x00,2
80593,0x01,0x00,2
82775,0x08,0x00,2
85881,0x02,0x00,2
86394,0x02,0x00,2
86428,0x08,0x00,2
86947,0x02,0x00,2
87018,0x20,0x00,2
87108,0x10,0x00,2
87979,0x10,0x00,2
88681,0x01,0x00,2
89221,0x40,0x00,2
91233,0x80,0x00,2
91439,0x10,0x00,2
91568,0x01,0x00,2
92055,0x02,0x00,2
92060,0x02,0x00,2
92246,0x04,0x00,2
92478,0x04,0x00,2
93181,0x04,0x00,2
93227,0x04,0x00,2
93440,0x08,0x00,2
94294,0x04,0x00,2
95187,0x20,0x00,2
95498,0x40,0x00,2
95536,0x10,0x00,2
96777,0x01,0x00,2
96814,0x04,0x00,2
99602,0x20,0x00,2
99990,0x04,0x00,2
100615,0x40,0x00,2
100617,0x10,0x00,2
104064,0x01,0x00,2
104081,0x08,0x00,2
105261,0x10,0x00,2
105337,0x40,0x00,2
105446,0x40,0x00,2
106015,0x02,0x00,2
107540,0x01,0x00,2
107889,0x40,0x00,2
109866,0x40,0x00,2
110416,0x20,0x00,2
111100,0x20,0x00,2
111363,0x10,0x00,2
111668,0x08,0x00,2
112024,0x80,0x00,2
112067,0x40,0x00,2
112573,0x40,0x00,2
116456,0x01,0x00,2
116523,0x02,0x00,2
116647,0x20,0x00,2
116649,0x02,0x00,2
118473,0x20,0x00,2
118974,0x02,0x00,2
123082,0x40,0x00,2
123404,0x20,0x00,2
124773,0x80,0x00,2
125371,0x01,0x00,2
125436,0x40,0x00,2
125444,0x04,0x00,2
127369,0x04,0x00,2
129294,0x02,0x00,2
129678,0x01,0x00,2
130151,0x01,0x00,2
1337,0xFB,0xFF,3
1474,0xF7,0xFF,3
1958,0xEF,0xFF,3
2413,0xBF,0xFF,3
3395,0x7F,0xFF,3
4049,0xFB,0xFF,3
5097,0xFB,0xFF,3
5637,0xFB,0xFF,3
6127,0xF7,0xFF,3
7306,0x7F,0xFF,3
7823,0xFD,0xFF,3
8027,0xEF,0xFF,3
8457,0xF7,0xFF,3
8749,0xFD,0xFF,3
9552,0xFB,0xFF,3
10474,0xDF,0xFF,3
10856,0x7F,0xFF,3
10968,0xFE,0xFF,3
11712,0xEF,0xFF,3
11822,0xBF,0xFF,3
12392,0xDF,0xFF,3
13397,0xDF,0xFF,3
13547,0xBF,0xFF,3
14034,0xBF,0xFF,3
14142,0xEF,0xFF,3
14206,0xFB,0xFF,3
15601,0xFD,0xFF,3
15741,0xEF,0xFF,3
15874,0xDF,0xFF,3
16038,0xEF,0xFF,3
16930,0xDF,0xFF,3
16969,0xF7,0xFF,3
17489,0xEF,0xFF,3
17548,0xF7,0xFF,3
18223,0xEF,0xFF,3
18995,0x7F,0xFF,3
19531,0xFD,0xFF,3
21693,0xFD,0xFF,3
21722,0xFE,0xFF,3
22376,0xF7,0xFF,3
23065,0x7F,0xFF,3
23784,0xFE,0xFF,3
24700,0xFD,0xFF,3
25344,0xFB,0xFF,3
25429,0xFE,0xFF,3
25782,0xF7,0xFF,3
26113,0xBF,0xFF,3
28232,0xEF,0xFF,3
29403,0xF7,0xFF,3
29879,0xBF,0xFF,3
30357,0xFD,0xFF,3
30693,0xFD,0xFF,3
31844,0xBF,0xFF,3
35029,0xF7,0xFF,3
35131,0xFD,0xFF,3
35191,0xBF,0xFF,3
35258,0x7F,0xFF,3
35324,0xDF,0xFF,3
35775,0xDF,0xFF,3
37094,0x7F,0xFF,3
37128,0xBF,0xFF,3
37264,0xEF,0xFF,3
37337,0xFD,0xFF,3
37362,0xF7,0xFF,3
37388,0xFB,0xFF,3
37548,0x7F,0xFF,3
37994,0xBF,0xFF,3
38682,0xF7,0xFF,3
39224,0xFD,0xFF,3
39937,0xFD,0xFF,3
40217,0xBF,0xFF,3
41917,0xEF,0xFF,3
42182,0xFD,0xFF,3
43344,0xBF,0xFF,3
43742,0xEF,0xFF,3
43748,0xDF,0xFF,3
44668,0xBF,0xFF,3
44885,0xF7,0xFF,3
45302,0x7F,0xFF,3
47268,0xFB,0xFF,3
48024,0xBF,0xFF,3
50124,0xFE,0xFF,3
50125,0xFE,0xFF,3
51146,0xFE,0xFF,3
51569,0xBF,0xFF,3
51835,0x7F,0xFF,3
52176,0xFB,0xFF,3
53617,0xBF,0xFF,3
54325,0xF7,0xFF,3
54923,0xFE,0xFF,3
55876,0xF7,0xFF,3
56182,0xF7,0xFF,3
56742,0xDF,0xFF,3
57206,0x7F,0xFF,3
58048,0xDF,0xFF,3
59234,0xFE,0xFF,3
60408,0x7F,0xFF,3
60615,0x7F,0xFF,3
62086,0xEF,0xFF,3
62628,0x7F,0xFF,3
64726,0xDF,0xFF,3
65212,0xFB,0xFF,3
66511,0xFD,0xFF,3
68944,0xEF,0xFF,3
69588,0xFB,0xFF,3
69600,0xF7,0xFF,3
69979,0xFE,0xFF,3
70642,0x7F,0xFF,3
71377,0xF7,0xFF,3
71445,0xF7,0xFF,3
72650,0x7F,0xFF,3
72829,0x7F,0xFF,3
73226,0xDF,0xFF,3
73862,0xDF,0xFF,3
74887,0xFD,0xFF,3
74953,0xDF,0xFF,3
74982,0xFB,0xFF,3
75274,0xDF,0xFF,3
76364,0xBF,0xFF,3
77027,0xEF,0xFF,3
77053,0xFE,0xFF,3
78550,0xF7,0xFF,3
79900,0xF7,0xFF,3
80970,0xF7,0xFF,3
83062,0xFB,0xFF,3
84965,0xFB,0xFF,3
85168,0xBF,0xFF,3
86730,0xDF,0xFF,3
86924,0xFE,0xFF,3
88112,0x7F,0xFF,3
88486,0xFE,0xFF,3
88651,0x7F,0xFF,3
88875,0xEF,0xFF,3
90015,0xEF,0xFF,3
91476,0xDF,0xFF,3
92241,0xEF,0xFF,3
92899,0xFD,0xFF,3
93394,0xFB,0xFF,3
94140,0xFD,0xFF,3
94839,0xEF,0xFF,3
95300,0xF7,0xFF,3
95986,0xFD,0xFF,3
96186,0xBF,0xFF,3
96834,0xBF,0xFF,3
98379,0xDF,0xFF,3
100243,0xFD,0xFF,3
100340,0xF7,0xFF,3
100494,0xEF,0xFF,3
101047,0xBF,0xFF,3
101855,0x7F,0xFF,3
101999,0xFD,0xFF,3
102651,0xDF,0xFF,3
103560,0xBF,0xFF,3
104610,0xF7,0xFF,3
106296,0xDF,0xFF,3
107424,0xFE,0xFF,3
107426,0xFE,0xFF,3
107704,0xBF,0xFF,3
109031,0xFE,0xFF,3
109409,0xFE,0xFF,3
110125,0xFB,0xFF,3
111197,0x7F,0xFF,3
111846,0xFB,0xFF,3
111982,0x7F,0xFF,3
112156,0xBF,0xFF,3
113067,0xF7,0xFF,3
113515,0xFD,0xFF,3
113730,0xFD,0xFF,3
117975,0xFD,0xFF,3
118886,0xF7,0xFF,3
119526,0xDF,0xFF,3
120064,0xFE,0xFF,3
120479,0xFD,0xFF,3
120660,0xBF,0xFF,3
120927,0xFB,0xFF,3
121299,0xFE,0xFF,3
122144,0xBF,0xFF,3
122706,0xFB,0xFF,3
123010,0xEF,0xFF,3
123452,0xFB,0xFF,3
124025,0xFD,0xFF,3
124253,0xEF,0xFF,3
125028,0xBF,0xFF,3
125697,0xFE,0xFF,3
125845,0xBF,0xFF,3
126031,0xEF,0xFF,3
129206,0xFE,0xFF,3
117539,0x80,0x00,4
117453,0x01,0x00,4
112067,0x10,0x00,4
111608,0x08,0x00,4
111455,0x01,0x00,4
111060,0x02,0x00,4
109708,0x20,0x00,4
107303,0x80,0x00,4
104623,0x20,0x00,4
103016,0x04,0x00,4
101791,0x08,0x00,4
101585,0x80,0x00,4
100243,0x08,0x00,4
100199,0x80,0x00,4
100058,0x20,0x00,4
98488,0x02,0x00,4
93824,0x08,0x00,4
93022,0x02,0x00,4
91435,0x04,0x00,4
91432,0x04,0x00,4
90355,0x08,0x00,4
90291,0x40,0x00,4
90286,0x01,0x00,4
89933,0x02,0x00,4
88749,0x02,0x00,4
87612,0x80,0x00,4
86827,0x40,0x00,4
84748,0x08,0x00,4
84565,0x02,0x00,4
83882,0x20,0x00,4
83380,0x02,0x00,4
77030,0x20,0x00,4
76896,0x08,0x00,4
76876,0x80,0x00,4
75710,0x40,0x00,4
75440,0x08,0x00,4
74751,0x08,0x00,4
74396,0x40,0x00,4
74346,0x10,0x00,4
73942,0x10,0x00,4
73625,0x01,0x00,4
73343,0x10,0x00,4
72680,0x40,0x00,4
72615,0x10,0x00,4
71146,0x80,0x00,4
70137,0x20,0x00,4
69528,0x10,0x00,4
69226,0x80,0x00,4
69173,0x02,0x00,4
69018,0x20,0x00,4
68377,0x02,0x00,4
67969,0x80,0x00,4
67934,0x01,0x00,4
67385,0x01,0x00,4
67062,0x40,0x00,4
65191,0x80,0x00,4
64529,0x80,0x00,4
64289,0x20,0x00,4
63421,0x08,0x00,4
59719,0x80,0x00,4
59640,0x80,0x00,4
59224,0x04,0x00,4
58840,0x01,0x00,4
57686,0x01,0x00,4
57008,0x04,0x00,4
56709,0x10,0x00,4
54327,0x40,0x00,4
53944,0x10,0x00,4
52047,0x80,0x00,4
49565,0x80,0x00,4
48917,0x40,0x00,4
48368,0x20,0x00,4
47850,0x08,0x00,4
47399,0x02,0x00,4
46621,0x80,0x00,4
46267,0x80,0x00,4
46122,0x02,0x00,4
45877,0x40,0x00,4
45232,0x02,0x00,4
44516,0x08,0x00,4
44067,0x20,0x00,4
43489,0x40,0x00,4
43400,0x80,0x00,4
42858,0x20,0x00,4
42452,0x10,0x00,4
41665,0x10,0x00,4
41401,0x20,0x00,4
40186,0x04,0x00,4
39942,0x01,0x00,4
39768,0x80,0x00,4
39296,0x10,0x00,4
39096,0x80,0x00,4
37242,0x02,0x00,4
35906,0x04,0x00,4
35894,0x04,0x00,4
35776,0x80,0x00,4
34825,0x10,0x00,4
34575,0x08,0x00,4
33017,0x10,0x00,4
32679,0x40,0x00,4
30167,0x02,0x00,4
29531,0x40,0x00,4
29457,0x04,0x00,4
28500,0x80,0x00,4
28442,0x10,0x00,4
28418,0x02,0x00,4
27286,0x02,0x00,4
26394,0x02,0x00,4
25995,0x02,0x00,4
25541,0x04,0x00,4
25220,0x01,0x00,4
24598,0x80,0x00,4
23853,0x40,0x00,4
22961,0x08,0x00,4
22596,0x01,0x00,4
22329,0x10,0x00,4
22113,0x40,0x00,4
21830,0x01,0x00,4
21537,0x02,0x00,4
20963,0x01,0x00,4
20431,0x40,0x00,4
20417,0x10,0x00,4
20044,0x20,0x00,4
19904,0x80,0x00,4
18624,0x04,0x00,4
17623,0x80,0x00,4
15711,0x10,0x00,4
15459,0x40,0x00,4
15447,0x40,0x00,4
15175,0x10,0x00,4
15069,0x80,0x00,4
14910,0x10,0x00,4
14747,0x08,0x00,4
14056,0x02,0x00,4
13888,0x01,0x00,4
13380,0x01,0x00,4
13117,0x02,0x00,4
12963,0x04,0x00,4
12859,0x20,0x00,4
12820,0x08,0x00,4
12342,0x04,0x00,4
12319,0x01,0x00,4
12143,0x10,0x00,4
11713,0x80,0x00,4
11491,0x20,0x00,4
11321,0x20,0x00,4
11146,0x02,0x00,4
10956,0x04,0x00,4
10775,0x04,0x00,4
10324,0x40,0x00,4
10247,0x20,0x00,4
9578,0x80,0x00,4
9374,0x01,0x00,4
5950,0x04,0x00,4
5353,0x80,0x00,4
5326,0x20,0x00,4
5012,0x10,0x00,4
4993,0x10,0x00,4
4607,0x04,0x00,4
2589,0x04,0x00,4
1899,0x01,0x00,4
1554,0x01,0x00,4
1415,0x08,0x00,4
1370,0x40,0x00,4
130592,0xFB,0xFF,5
130496,0xBF,0xFF,5
130263,0xF7,0xFF,5
130259,0xFE,0xFF,5
129200,0xFB,0xFF,5
129013,0xFB,0xFF,5
127505,0xFE,0xFF,5
125592,0x7F,0xFF,5
124484,0xFD,0xFF,5
123918,0xEF,0xFF,5
123525,0xFD,0xFF,5
122657,0x7F,0xFF,5
121173,0xFB,0xFF,5
119826,0xF7,0xFF,5
118396,0xFD,0xFF,5
117875,0xBF,0xFF,5
117388,0xFB,0xFF,5
116458,0xEF,0xFF,5
116257,0xFB,0xFF,5
115376,0xF7,0xFF,5
115081,0xFD,0xFF,5
114958,0xBF,0xFF,5
114480,0xFD,0xFF,5
113079,0xFB,0xFF,5
109960,0xFD,0xFF,5
109687,0xEF,0xFF,5
109139,0xBF,0xFF,5
108364,0xFD,0xFF,5
107836,0xBF,0xFF,5
107508,0xBF,0xFF,5
106969,0xDF,0xFF,5
104638,0xBF,0xFF,5
104007,0xFB,0xFF,5
103862,0xEF,0xFF,5
103738,0x7F,0xFF,5
103554,0x7F,0xFF,5
102640,0xFD,0xFF,5
100959,0xFE,0xFF,5
100798,0xFB,0xFF,5
100620,0xFB,0xFF,5
100525,0xFE,0xFF,5
100501,0xFB,0xFF,5
98794,0xF7,0xFF,5
97970,0xFE,0xFF,5
97262,0xF7,0xFF,5
97041,0x7F,0xFF,5
94159,0xDF,0xFF,5
93403,0xF7,0xFF,5
92055,0xFE,0xFF,5
91327,0xBF,0xFF,5
90370,0xBF,0xFF,5
90262,0xF7,0xFF,5
89491,0xFB,0xFF,5
89139,0xFB,0xFF,5
88907,0xFE,0xFF,5
86862,0xDF,0xFF,5
86299,0xFE,0xFF,5
86143,0xEF,0xFF,5
86015,0xDF,0xFF,5
85381,0xDF,0xFF,5
84459,0xF7,0xFF,5
83037,0xFD,0xFF,5
82688,0xFE,0xFF,5
81176,0x7F,0xFF,5
80210,0xFE,0xFF,5
78755,0xEF,0xFF,5
77962,0xBF,0xFF,5
77935,0xFB,0xFF,5
76988,0xFE,0xFF,5
74732,0xBF,0xFF,5
73816,0xDF,0xFF,5
72434,0xFE,0xFF,5
71175,0xFE,0xFF,5
70245,0xEF,0xFF,5
70208,0x7F,0xFF,5
69921,0xFD,0xFF,5
69726,0xFE,0xFF,5
69703,0xFD,0xFF,5
69550,0x7F,0xFF,5
68428,0xF7,0xFF,5
68372,0xFB,0xFF,5
67678,0xFE,0xFF,5
67087,0xF7,0xFF,5
66929,0x7F,0xFF,5
66896,0x7F,0xFF,5
66370,0xF7,0xFF,5
66135,0xFD,0xFF,5
65982,0xFB,0xFF,5
65522,0xEF,0xFF,5
64137,0xFB,0xFF,5
62106,0xFE,0xFF,5
62027,0x7F,0xFF,5
61696,0xBF,0xFF,5
61386,0xFE,0xFF,5
61166,0xFE,0xFF,5
61015,0xFD,0xFF,5
60039,0xFE,0xFF,5
59346,0xDF,0xFF,5
59027,0xBF,0xFF,5
58492,0x7F,0xFF,5
57972,0xFB,0xFF,5
54910,0xFD,0xFF,5
54348,0xF7,0xFF,5
53424,0x7F,0xFF,5
52346,0xFE,0xFF,5
52188,0xF7,0xFF,5
51869,0xEF,0xFF,5
51855,0xDF,0xFF,5
51158,0xF7,0xFF,5
49141,0xFB,0xFF,5
49106,0xF7,0xFF,5
46747,0xF7,0xFF,5
46422,0xEF,0xFF,5
46055,0xF7,0xFF,5
45878,0xFD,0xFF,5
43922,0xF7,0xFF,5
40436,0xDF,0xFF,5
40329,0xFE,0xFF,5
39575,0x7F,0xFF,5
38322,0xFD,0xFF,5
37746,0xFD,0xFF,5
37690,0xF7,0xFF,5
37512,0xDF,0xFF,5
37026,0x7F,0xFF,5
36953,0xEF,0xFF,5
35908,0xF7,0xFF,5
35216,0xFD,0xFF,5
34891,0xBF,0xFF,5
34878,0xEF,0xFF,5
34266,0xEF,0xFF,5
33379,0xF7,0xFF,5
32773,0xFB,0xFF,5
31901,0xFD,0xFF,5
31723,0xFB,0xFF,5
31524,0xF7,0xFF,5
31428,0xEF,0xFF,5
29623,0xFB,0xFF,5
29365,0xF7,0xFF,5
29254,0xBF,0xFF,5
28795,0xBF,0xFF,5
28180,0xEF,0xFF,5
27890,0xFB,0xFF,5
27652,0xDF,0xFF,5
23651,0xFB,0xFF,5
23027,0xDF,0xFF,5
22052,0xBF,0xFF,5
21400,0xDF,0xFF,5
20206,0xF7,0xFF,5
20046,0xFB,0xFF,5
18916,0xBF,0xFF,5
18677,0xFE,0xFF,5
16629,0xF7,0xFF,5
16429,0xF7,0xFF,5
15022,0xF7,0xFF,5
14643,0xDF,0xFF,5
14620,0xDF,0xFF,5
14317,0xDF,0xFF,5
14240,0xFB,0xFF,5
13593,0xFE,0xFF,5
12955,0xFD,0xFF,5
12863,0xDF,0xFF,5
12295,0x7F,0xFF,5
12192,0xFB,0xFF,5
10788,0xFD,0xFF,5
8574,0xEF,0xFF,5
8300,0xBF,0xFF,5
7786,0x7F,0xFF,5
7057,0xFE,0xFF,5
6464,0xBF,0xFF,5
6190,0xFD,0xFF,5
5930,0xFB,0xFF,5
5468,0xFB,0xFF,5
5047,0xFE,0xFF,5
3341,0xFE,0xFF,5
3285,0x7F,0xFF,5
3271,0xFE,0xFF,5
2275,0xFD,0xFF,5
2168,0xFB,0xFF,5
1829,0xEF,0xFF,5
1785,0xFB,0xFF,5
1217,0xFD,0xFF,5
1210,0xFE,0xFF,5
1031,0xFE,0xFF,5
375,0xEF,0xFF,5
160,0xFB,0xFF,5
149,0xFD,0xFF,5
3185,0x04,0x00,6
5255,0x80,0x00,6
10374,0x02,0x00,6
17065,0x04,0x00,6
20077,0x10,0x00,6
21099,0x40,0x00,6
23403,0x02,0x00,6
29068,0x80,0x00,6
30030,0x20,0x00,6
30306,0x08,0x00,6
30916,0x04,0x00,6
35473,0x04,0x00,6
36511,0x01,0x00,6
36733,0x40,0x00,6
36878,0x80,0x00,6
37521,0x04,0x00,6
37819,0x01,0x00,6
38320,0x01,0x00,6
39714,0x40,0x00,6
41815,0x08,0x00,6
44000,0x02,0x00,6
44046,0x02,0x00,6
44709,0x04,0x00,6
44812,0x40,0x00,6
45717,0x10,0x00,6
48074,0x40,0x00,6
48416,0x02,0x00,6
48523,0x40,0x00,6
49056,0x20,0x00,6
50541,0x10,0x00,6
51792,0x01,0x00,6
52149,0x04,0x00,6
52533,0x40,0x00,6
52621,0x40,0x00,6
54290,0x10,0x00,6
54641,0x10,0x00,6
55027,0x08,0x00,6
56129,0x10,0x00,6
56168,0x10,0x00,6
58345,0x01,0x00,6
59056,0x08,0x00,6
59234,0x80,0x00,6
59805,0x40,0x00,6
60428,0x20,0x00,6
61138,0x08,0x00,6
61283,0x04,0x00,6
61970,0x04,0x00,6
64400,0x10,0x00,6
64509,0x08,0x00,6
66369,0x01,0x00,6
66441,0x01,0x00,6
67701,0x02,0x00,6
67716,0x20,0x00,6
69273,0x04,0x00,6
70583,0x08,0x00,6
70916,0x01,0x00,6
71242,0x04,0x00,6
71711,0x40,0x00,6
73851,0x04,0x00,6
74646,0x08,0x00,6
74860,0x02,0x00,6
75058,0x40,0x00,6
75472,0x40,0x00,6
76270,0x02,0x00,6
76321,0x02,0x00,6
76462,0x80,0x00,6
76838,0x20,0x00,6
76937,0x40,0x00,6
77855,0x20,0x00,6
78291,0x40,0x00,6
78698,0x08,0x00,6
79862,0x40,0x00,6
80110,0x08,0x00,6
80118,0x04,0x00,6
81167,0x80,0x00,6
81858,0x20,0x00,6
81979,0x40,0x00,6
83038,0x10,0x00,6
83456,0x40,0x00,6
85281,0x04,0x00,6
85306,0x02,0x00,6
85681,0x01,0x00,6
85897,0x40,0x00,6
86164,0x80,0x00,6
86691,0x80,0x00,6
87512,0x80,0x00,6
87634,0x04,0x00,6
88594,0x02,0x00,6
88984,0x10,0x00,6
89291,0x80,0x00,6
89376,0x08,0x00,6
89399,0x02,0x00,6
90692,0x20,0x00,6
92442,0x20,0x00,6
96254,0x08,0x00,6
96291,0x80,0x00,6
96877,0x02,0x00,6
97172,0x10,0x00,6
97820,0x40,0x00,6
99012,0x40,0x00,6
99483,0x10,0x00,6
99881,0x20,0x00,6
100397,0x80,0x00,6
100620,0x01,0x00,6
101040,0x40,0x00,6
101136,0x01,0x00,6
101363,0x10,0x00,6
101422,0x08,0x00,6
101489,0x20,0x00,6
102071,0x20,0x00,6
102542,0x08,0x00,6
103609,0x08,0x00,6
103889,0x08,0x00,6
104292,0x01,0x00,6
104839,0x01,0x00,6
105604,0x40,0x00,6
105692,0x01,0x00,6
106149,0x08,0x00,6
106987,0x20,0x00,6
107030,0x40,0x00,6
107157,0x04,0x00,6
107764,0x40,0x00,6
108051,0x02,0x00,6
108143,0x04,0x00,6
108491,0x02,0x00,6
108618,0x20,0x00,6
108714,0x01,0x00,6
110379,0x08,0x00,6
110952,0x80,0x00,6
111006,0x80,0x00,6
111032,0x20,0x00,6
111170,0x02,0x00,6
113136,0x01,0x00,6
113766,0x04,0x00,6
113767,0x01,0x00,6
113788,0x01,0x00,6
114619,0x10,0x00,6
115096,0x01,0x00,6
115119,0x04,0x00,6
115330,0x40,0x00,6
115411,0x20,0x00,6
115638,0x04,0x00,6
116262,0x02,0x00,6
116523,0x02,0x00,6
116740,0x04,0x00,6
117010,0x01,0x00,6
117024,0x04,0x00,6
117099,0x80,0x00,6
117170,0x01,0x00,6
117397,0x20,0x00,6
117581,0x01,0x00,6
117823,0x01,0x00,6
117942,0x40,0x00,6
118302,0x40,0x00,6
118751,0x01,0x00,6
119932,0x04,0x00,6
120296,0x40,0x00,6
121343,0x04,0x00,6
121859,0x01,0x00,6
122348,0x80,0x00,6
122471,0x01,0x00,6
123363,0x80,0x00,6
123439,0x04,0x00,6
123516,0x04,0x00,6
124226,0x10,0x00,6
124559,0x40,0x00,6
124740,0x04,0x00,6
125147,0x10,0x00,6
125671,0x10,0x00,6
126025,0x02,0x00,6
126365,0x40,0x00,6
126558,0x10,0x00,6
126620,0x04,0x00,6
126978,0x40,0x00,6
126998,0x01,0x00,6
127224,0x04,0x00,6
127668,0x02,0x00,6
128434,0x01,0x00,6
128465,0x40,0x00,6
128926,0x80,0x00,6
129904,0x40,0x00,6
130087,0x08,0x00,6
130479,0x10,0x00,6
